2026-04-16 13:15:18 | WARNING  | train | No GPU detected — training on CPU.  Consider reducing BATCH_SIZE and NUM_EPOCHS in config.py.
2026-04-16 13:15:18 | INFO     | train | ======================================================================
2026-04-16 13:15:18 | INFO     | train | ESG Report Authenticity Scorer — Training Pipeline
2026-04-16 13:15:18 | INFO     | train | Base model : climatebert/distilroberta-base-climate-f
2026-04-16 13:15:18 | INFO     | train | Device     : cpu
2026-04-16 13:15:18 | INFO     | train | ======================================================================
2026-04-16 13:15:18 | INFO     | train | Loaded 300 gold-labelled rows from C:\Users\aditi\OneDrive\Desktop\esg_scorer\data\gold_labels.csv.
2026-04-16 13:15:19 | INFO     | train | Loaded 7680 auto-labelled rows from C:\Users\aditi\OneDrive\Desktop\esg_scorer\data\auto_labels.csv.
2026-04-16 13:15:30 | WARNING  | inference | Fine-tuned model not found at C:\Users\aditi\OneDrive\Desktop\esg_scorer\models\climatebert-esg-scorer.  Loading base model 'climatebert/distilroberta-base-climate-f' — run train.py first for best results.
2026-04-16 13:15:31 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 13:15:31 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 13:15:31 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/config.json "HTTP/1.1 200 OK"
2026-04-16 13:15:31 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/climatebert/distilroberta-base-climate-f/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-16 13:15:31 | WARNING  | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-04-16 13:15:31 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/tokenizer_config.json "HTTP/1.1 200 OK"
2026-04-16 13:15:31 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/resolve-cache/models/climatebert/distilroberta-base-climate-f/e7dd6bb67b16f5dbfb940f7b27ab89d2f289a318/tokenizer_config.json "HTTP/1.1 200 OK"
2026-04-16 13:15:32 | INFO     | httpx | HTTP Request: GET https://huggingface.co/api/models/climatebert/distilroberta-base-climate-f/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
